Име Презиме;Институција
Зоран Поповић;?
Александар Перовић;Саобраћајни факултет,Универзитет у Београду
Иван Анић;МАТФ
Душко Витас;МАТФ
Милан Туба;МАТФ
Олга Атанацковић;МАТФ
Бојан Арбутина;МАТФ
Трајко Ангелов;МАТФ
Гордана Павловић-Лажетић;МАТФ  
Раде Живаљевић;МИ САНУ
Зоран Огњановић;МИ САНУ
Алемпије Вељовић;Факултет техничких наука у Чачку, Универзитета у Крагујевцу
Марија Ивановић;МАТФ
Зоран Петрић;МИ САНУ 
Александар Перовић;Саобраћајни факултет,Универзитет у Београду
Милош Бељански ; ?    
Иван Обрадовић ; Рударско;геолошки факултет,Универзитет у Београду
Мирослав Павловић ; МАТФ
Маша Ђорић ; МАТФ
Јелена Хаџи-Пурић;МАТФ
Наташа Пејић;Фармацеутски факултет, Универзитет у Београду
Стево Шеган;МАТФ
Смиља Милановић;?
Драган Матић;Природно;математички факултет, Универзитет у Бањој Луци
Анђелка Зечевић;МАТФ; МИ САНУ 
Надежда Пејовић;МАТФ
Мике Кузманоски;МАТФ
Зорица Цветковић;?
Раде Павловић;Астрономска опсерваторија „Београд“
Лука Поповић;Астрономска опсерваторија „Београд“
Бранислав Вукотић;Астрономска опсерваторија „Београд“
Драгана Митић;Хемијски факултет, Универзитет у Београду ?
Зоран Пуцановић;Грађевински факултет, Универзитет у Београду
Слободанка Јанковић;МАТФ, МИ САНУ
Виктор Обуљен;МАТФ
Бобан Маринковић;Технолошко;металуршки факултет, Универзитета у Београду
Зоран Марковић;МИ САНУ
Владан Девеџић;Факултет организационих наука, Универзитет у Београду
Вељко Милутиновић;Електротехнички факултет, Универзитет у Београду
Слободан Нинковић;Астрономска опсерваторија „Београд“
Милан Ћирковић;Астрономска опсерваторија „Београд“
Мирослав Мићић;Астрономска опсерваторија „Београд“
Срђан Самуровић;?
Тијана Продановић;Природно;математички факултет, Универзитета у Новом Саду
Freddy Callens;?
Предраг Јовановић;?
Виктор Радовић;МАТФ
Зоран Кнежевић;SANU
Александар Ђенић;МАТФ
Милан Кнежевић;?
Миодраг Рашковић;Факултет техничких наука, Универзитет у Новом Саду
Миодраг Матељевић;МАТФ
Ћемал Долићанин;Државни универзитет у Новом Пазару
Предраг Тановић;МИ САНУ
Наташа Тодоровић;Астрономска опсерваторија „Београд“
Бранко Малешевић;Електротехнички факултет, Универзитет у Београду
Драгана Тодорић;МАТФ
Иштван Винце;Астрономска опсерваторија „Београд“
Гојко Ђурашевић;Астрономска опсерваторија „Београд“
Наталија Половић;Хемијски факултет, Универзитет у Београду
Воја Радовановић;Физички факултет, Универзитет у Београду
Nicola Vittorio;Tor Vergata University of Rome
Dario Del Moro;Tor Vergata University of Rome
Francesco Berrilli;Tor Vergata University of Rome
Herve Bourdin;Tor Vergata University of Rome
Valentina D;?
Eleonora Troja;Tor Vergata University of Rome
Matteo Cirillo;Tor Vergata University of Rome
Merieme Chadid;University of Côte D’Azur
Vivien Parmentier;University of Côte D’Azur
Olivier Minazzoli;University of Côte D’Azur
Frederic Thevenin;University of Côte D’Azur
Маја Бурић;Физички факултет, Универзитет у Београду
Јулка Кнежевић;МАТФ
Драгица Павловић;?
Мирољуб Јевтић;?
Градимир Миловановић;Електронски факултет у Нишу
Жарко Мијајловић;МАТФ
Мирјана Ђорић;МАТФ
Зоран Лучић;МАТФ
Александар Јовановић; МАТФ
Неда Бокан;МАТФ
Синиша Врећица;МАТФ
Раде Живаљевић;МИ САНУ
Милан Рајковић;?
Небојша Лажетић;МАТФ
Милутин Достанић;МАТФ
Милан Божић;МАТФ
Миодраг Живковић;МАТФ
Бошко Јовановић;МАТФ
Десанка Радуновић;МАТФ
Милан Дражић;МАТФ
Ђорђе Дугошија;МАТФ
Јозеф Кратица;МИ САНУ 
Владимир Јовановић;?
Зоран Огњановић;МИ САНУ 
Зоран Каделбург;МАТФ
Гојко Калајџић;МАТФ
Павле Младеновић;МАТФ
Весна Јевремовић;МАТФ
Јован Вукмировић;МАТФ
Владимир Јанковић;МАТФ
Душан Тошић;МАТФ
Милан Туба;МАТФ 
